Z,elem,A,N,Rav,delta_Rav
0,n,1,1,-0.1149,0.0027
1,H,1,0,0.8783,0.0086
1,H,2,1,2.1421,0.0088
1,H,3,2,1.7591,0.0363
2,He,3,1,1.9661,0.0030
2,He,4,2,1.6755,0.0028
2,He,6,4,2.0660,0.0111
2,He,8,6,1.9239,0.0306
3,Li,6,3,2.5890,0.0390
3,Li,7,4,2.4440,0.0420
3,Li,8,5,2.3390,0.0440
3,Li,9,6,2.2450,0.0460
3,Li,11,8,2.4820,0.0430
4,Be,7,3,2.6460,0.0160
4,Be,9,5,2.5190,0.0120
4,Be,10,6,2.3610,0.0170
4,Be,11,7,2.4660,0.0150
4,Be,12,8,2.5030,0.0150
5,B,10,5,2.4277,0.0499
5,B,11,6,2.4060,0.0294
6,C,12,6,2.4702,0.0022
6,C,13,7,2.4614,0.0034
6,C,14,8,2.5025,0.0087
7,N,14,7,2.5582,0.0070
7,N,15,8,2.6058,0.0080
8,O,16,8,2.6991,0.0052
8,O,17,9,2.6932,0.0075
8,O,18,10,2.7726,0.0056
9,F,19,10,2.8976,0.0025
10,Ne,17,7,3.0413,0.0088
10,Ne,18,8,2.9714,0.0076
10,Ne,19,9,3.0082,0.0040
10,Ne,20,10,3.0055,0.0021
10,Ne,21,11,2.9695,0.0033
10,Ne,22,12,2.9525,0.0040
10,Ne,23,13,2.9104,0.0071
10,Ne,24,14,2.9007,0.0078
10,Ne,25,15,2.9316,0.0088
10,Ne,26,16,2.9251,0.0100
10,Ne,28,18,2.9642,0.0134
11,Na,20,9,2.9718,0.0420
11,Na,21,10,3.0136,0.0284
11,Na,22,11,2.9852,0.0169
11,Na,23,12,2.9936,0.0021
11,Na,24,13,2.9735,0.0169
11,Na,25,14,2.9769,0.0252
11,Na,26,15,2.9928,0.0331
11,Na,27,16,3.0136,0.0467
11,Na,28,17,3.0400,0.0581
11,Na,29,18,3.0922,0.0723
